,category_name,class_name,img_name
0,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_3658.jpg
1,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_3696.jpg
2,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_959.jpg
3,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11865.jpg
4,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_4172.jpg
5,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10218.jpg
6,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9378.jpg
7,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11141.jpg
8,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10178.jpg
9,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11769.jpg
10,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11481.jpg
11,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10180.jpg
12,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_14111.jpg
13,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10483.jpg
14,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11805.jpg
15,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_1597.jpg
16,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_2983.jpg
17,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_12613.jpg
18,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11445.jpg
19,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10261.jpg
20,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_12008.jpg
21,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10930.jpg
22,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10818.jpg
23,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_518.jpg
24,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10894.jpg
25,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_14892.jpg
26,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9714.jpg
27,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_5690.jpg
28,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_873.jpg
29,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_8666.jpg
30,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_2698.jpg
31,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_8275.jpg
32,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_8482.jpg
33,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9723.jpg
34,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_3545.jpg
35,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_3700.jpg
36,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9254.jpg
37,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_6105.jpg
38,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_5967.jpg
39,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_1671.jpg
40,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11573.jpg
41,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_12053.jpg
42,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9307.jpg
43,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9822.jpg
44,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10020.jpg
45,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_6213.jpg
46,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_4782.jpg
47,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_2226.jpg
48,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10697.jpg
49,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10226.jpg
50,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9216.jpg
51,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_422.jpg
52,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_2180.jpg
53,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10703.jpg
54,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_12887.jpg
55,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_12717.jpg
56,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11890.jpg
57,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_20.jpg
58,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_2030.jpg
59,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10087.jpg
60,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10795.jpg
61,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_12846.jpg
62,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_7059.jpg
63,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11443.jpg
64,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9103.jpg
65,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10019.jpg
66,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_8961.jpg
67,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_8406.jpg
68,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_12238.jpg
69,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10355.jpg
70,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11704.jpg
71,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_1458.jpg
72,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9452.jpg
73,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_5790.jpg
74,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_4465.jpg
75,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9755.jpg
76,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_14794.jpg
77,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10542.jpg
78,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_11221.jpg
79,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10157.jpg
80,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_2971.jpg
81,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_2048.jpg
82,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_1983.jpg
83,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_9980.jpg
84,train,n02102318-cocker_spaniel,train/n02102318-cocker_spaniel/n02102318_10000.jpg
